aX,aY,aZ
0.596,-0.399,0.07
0.592,-0.395,0.05
0.595,-0.391,0.021
0.602,-0.384,-0.001
0.6,-0.362,-0.055
0.596,-0.351,-0.094
0.591,-0.337,-0.106
0.588,-0.322,-0.142
0.574,-0.319,-0.166
0.57,-0.314,-0.174
0.565,-0.306,-0.19
0.56,-0.304,-0.207
0.556,-0.305,-0.211
0.551,-0.309,-0.219
0.547,-0.31,-0.236
0.549,-0.305,-0.243
0.558,-0.341,-0.278
0.54,-0.325,-0.288
0.539,-0.323,-0.329
0.561,-0.344,-0.278
0.541,-0.321,-0.321
0.517,-0.292,-0.347
0.508,-0.281,-0.412
0.512,-0.299,-0.433
0.515,-0.324,-0.454
0.509,-0.335,-0.495
0.527,-0.351,-0.526
0.532,-0.352,-0.538
0.505,-0.329,-0.55
0.488,-0.314,-0.55
0.474,-0.293,-0.55
0.449,-0.285,-0.547
0.433,-0.278,-0.545
0.425,-0.273,-0.539
0.41,-0.268,-0.536
0.401,-0.257,-0.536
0.395,-0.245,-0.541
0.391,-0.229,-0.553
0.386,-0.22,-0.565
0.214,0.48,-1.325
0.227,0.464,-1.353
0.226,0.454,-1.354
0.223,0.459,-1.357
0.222,0.466,-1.357
0.224,0.476,-1.348
0.227,0.488,-1.334
0.229,0.485,-1.317
0.218,0.493,-1.303
0.215,0.5,-1.287
0.209,0.508,-1.266
0.204,0.516,-1.26
0.203,0.381,-1.265
0.203,0.489,-1.261
0.209,0.485,-1.249
0.213,0.48,-1.245
0.218,0.49,-1.239
0.219,0.507,-1.231
0.22,0.512,-1.218
0.22,0.519,-1.211
0.222,0.519,-1.193
0.226,0.521,-1.183
0.223,0.533,-1.163
0.224,0.543,-1.141
0.231,0.555,-1.133
0.235,0.569,-1.122
0.238,0.58,-1.119
0.244,0.596,-1.124
0.245,0.6,-1.139
0.247,0.623,-1.147
0.253,0.631,-1.156
0.261,0.63,-1.158
0.273,0.627,-1.155
0.282,0.614,-1.142
0.29,0.602,-1.13
0.292,0.587,-1.122
0.294,0.569,-1.103
0.297,0.555,-1.078
0.302,0.533,-1.058
0.303,0.515,-1.012
0.304,0.507,-0.972
0.304,0.506,-0.946
0.303,0.504,-0.902
0.298,0.498,-0.883
0.289,0.494,-0.845
0.276,0.492,-0.807
0.259,0.487,-0.793
0.251,0.488,-0.775
0.237,0.487,-0.779
0.224,0.476,-0.796
0.22,0.461,-0.864
0.223,0.457,-0.914
0.235,0.476,-0.914
0.235,0.487,-0.927
0.224,0.51,-0.935
0.217,0.535,-0.941
0.206,0.542,-0.935
0.208,0.538,-0.936
0.213,0.528,-0.941
0.224,0.52,-0.947
0.227,0.504,-0.948
0.227,0.498,-0.951
0.224,0.492,-0.946
0.224,0.502,-0.956
0.22,0.51,-0.997
0.207,0.525,-1.022
0.199,0.553,-1.078
0.186,0.568,-1.228
0.178,0.596,-1.147
0.171,0.607,-1.197
0.165,0.626,-1.219
0.156,0.643,-1.254
0.149,0.664,-1.29
0.134,0.674,-1.322
0.117,0.695,-1.34
0.108,0.715,-1.376
0.108,0.73,-1.413
0.109,0.738,-1.457
0.112,0.753,-1.482
0.114,0.762,-1.53
0.115,0.767,-1.551
0.114,0.78,-1.595
0.116,0.784,-1.629
0.119,0.786,-1.647
0.122,0.773,-1.675
0.122,0.764,-1.698
0.119,0.768,-1.696
0.119,0.777,-1.689
0.117,0.773,-1.687
0.117,0.777,-1.659
0.112,0.771,-1.643
0.105,0.785,-1.605
0.087,0.794,-1.563
0.073,0.801,-1.547
0.07,0.791,-1.509
0.074,0.782,-1.469
0.079,0.764,-1.451
0.077,0.755,-1.414
0.071,0.752,-1.398
0.064,0.739,-1.364
0.063,0.726,-1.329
0.057,0.718,-1.292
0.059,0.698,-1.276
0.055,0.681,-1.241
0.051,0.671,-1.213
0.041,0.669,-1.191
0.041,0.659,-1.179
0.043,0.639,-1.156
0.048,0.629,-1.139
0.05,0.61,-1.135
0.051,0.597,-1.128
